Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
1116.719971,563795968,0.17936409468554187,-0.00035821424384637797,4,3,1
1175.829956,283320000,0.06943350808854934,0.0006718990241476539,5,3,1
1221.380005,227176000,0.04391845533179353,0.00032751805200874427,6,3,1
1231.920044,380276992,0.016712788933164444,0.0001948097209464954,0,3,1
1240.0,245306000,0.019734327751077585,0.00012905967741935162,1,3,1
1249.609985,297804992,0.009566432748538052,0.0013764062552685083,2,3,1
1187.810059,638568000,0.09157964354170191,-0.006440444700763319,3,3,1
1100.22998,706598976,0.07329237061559331,-0.0004908419237948586,4,3,1
973.817993,621302016,0.16333117068609898,0.0029902784924204554,5,3,1
1036.73999,406648000,0.09540001423935,0.00048228100085152495,6,3,1
1054.22998,286529984,0.025417654075941244,0.0010718771249514103,0,3,1
1120.540039,337391008,0.06355184008611041,9.815356539888131e-05,1,3,1
1049.140015,380840992,0.10494867896306398,0.0008674094849008271,2,3,1
1038.589966,248540000,0.02826232540001212,-0.00013481258685677354,3,3,1
937.52002,491038016,0.11356675203020232,-0.0010453558101084879,4,3,1
972.778992,435803008,0.07972439476203487,0.001270610292949184,5,3,1
966.724976,303668000,0.0563559405244412,0.005513478116655174,6,3,1
1045.77002,372535008,0.07656094576757591,-0.0011379786924852686,0,3,1
1047.150024,326332000,0.03592387564679193,-0.0010218860482974997,1,3,1
1039.969971,298457984,0.038636452934222285,0.00215389873021635,2,3,1
1026.430054,352968992,0.028675406484901477,0.0002045546105960194,3,3,1
1071.790039,447287008,0.047027223071954796,-7.471426033654124e-05,4,3,1
1080.5,289633984,0.02886654853166332,0.00010179083757524435,5,4,2
1102.170044,514187008,0.02988517965909503,0.0007076104129718969,6,4,2
1143.810059,580444032,0.044235950104321624,0.001494969367112395,0,4,2
1133.25,436310016,0.032056474100302254,0.0007853651003749821,1,4,2
1124.780029,414784000,0.019270279090585405,0.0009157612808218672,2,4,2
1182.680054,511222016,0.05556881953565856,-0.003162404732666471,3,4,2
1176.900024,317022016,0.01993307549575289,-0.0036111818449584806,4,4,2
1175.949951,209312000,0.019267512642373502,0.0005272290708229446,5,4,2
1187.869995,242343008,0.021632256689778487,-0.0004798050311895223,6,4,2
1187.130005,215883008,0.009584006162830595,0.0002779442846278983,0,4,2
1205.01001,216182000,0.017356362047477952,-0.000165933061419179,1,4,2
1200.369995,288702016,0.0086734223346918,0.0005415205334251246,2,4,2
1169.280029,351968992,0.04276060714163785,0.0008979260518953285,3,4,2
1167.540039,254827008,0.02673760677125454,-0.0002055518371820346,4,4,2
1172.52002,203559008,0.01977753722988251,7.672790098724302e-05,5,4,2
1182.939941,183231008,0.012459373693632614,0.00026210882670662155,6,4,2
1193.910034,253206000,0.018974118061332167,-0.0001172734929875501,0,4,2
1211.670044,270524000,0.019936776432030134,0.0003796091207153927,1,4,2
1210.290039,288060992,0.008655072178463756,0.000652667521458515,2,4,2
1229.079956,315108000,0.026795544632162483,0.00027670128240210546,3,4,2
1222.050049,272167008,0.016765837153917364,0.0005400040698333761,4,4,2
1231.709961,249320000,0.022416848287577288,0.0001705620695227458,5,4,2
1207.209961,258951008,0.02347294000108263,0.0020046587405518944,6,4,2
1250.150024,235806000,0.03415088566689457,0.0002399128058569914,0,4,2
1265.48999,242556000,0.014088326446683935,0.0003951038759303027,1,4,2
1281.079956,329631008,0.022828987990832637,0.0006245113712480445,2,4,2
1317.72998,449196992,0.029969484532502436,7.596396949218426e-06,3,4,2
1316.47998,527488992,0.030107503385669362,0.001033047232514645,4,4,2
1321.790039,422705984,0.009116407536089239,6.049069643506243e-05,5,4,2
1347.890015,413115008,0.02508897035263388,0.0003042043456342364,6,4,2
1421.599976,713624000,0.06379877910988649,-0.0004009193933750858,0,5,2
1452.819946,477337984,0.04111781917365473,0.0006608410096814162,1,5,2
1490.089966,583795968,0.03128175691218417,0.0004227966192478762,2,5,2
1537.670044,933548992,0.07928387980253336,0.0020810387849371772,3,5,2
1555.449951,946035968,0.057321697314936165,0.000874414505671134,4,5,2
1578.800049,582529984,0.023533257050243075,0.0004243235236940649,5,5,2
1596.709961,1080029952,0.02369592806780578,0.00013157242400389866,6,5,2
1723.349976,1340320000,0.07917110970898429,0.00031336583254751435,0,5,2
1755.359985,1167920000,0.06828056729840488,0.0006608530500368446,1,5,2
1787.130005,915723008,0.04033503924614104,-0.0037826067387861724,2,5,2
1848.569946,799489984,0.0675535247222973,-0.0015200593334757737,3,5,2
1724.23999,740984000,0.09571372839762622,-0.0006495586498953763,4,5,2
1804.910034,579635008,0.0980631091859733,-0.0022439063020910353,5,5,2
1808.910034,437196000,0.030845115530741252,-0.0002598763847643659,6,5,2
1738.430054,731529024,0.06102286608455652,0.001880948268511773,0,5,2
1734.449951,959044992,0.05893717297037151,-0.004450962102163296,1,5,2
1839.089966,1064729984,0.1216311417974145,-0.011087013347339391,2,5,2
1888.650024,894321024,0.05387577209558796,0.0046170390962809674,3,5,2
1987.709961,1157289984,0.06045233170215576,-0.0017457129400580524,4,5,2
2084.72998,961336000,0.05560221859796979,-0.008490284674660866,5,5,2
2041.199951,1147859968,0.04003930208588955,0.0009749118399817335,6,5,2
2173.399902,1942220032,0.1417484316178655,0.008355644528781155,0,5,2
2320.419922,1378749952,0.06532938627495984,0.0004094926918145526,1,5,2
2443.639893,1725379968,0.08716828588346993,0.0010640262533969055,2,5,2
2304.97998,2406700032,0.20934227529962307,0.006902408323737354,3,5,2
2202.419922,1763480064,0.2421826608341867,-0.0027923385266218595,4,5,2
2038.869995,1700480000,0.21789172746816035,0.00746005534305778,5,5,2
2155.800049,1147139968,0.10382263685048017,0.0016837753583333662,6,5,2
2255.610107,994625024,0.0948571469785814,-0.00011083475784407806,0,5,2
2175.469971,1443970048,0.08349448938955871,0.005387327867648192,1,5,2
2286.409912,1544829952,0.07714034254508437,0.000839817038021956,2,5,2
2407.879883,1653180032,0.06994612208213088,-0.001598856332984302,3,6,2
2488.550049,1317030016,0.0485522296607488,0.0020774836343265533,4,6,2
2515.350098,1514950016,0.06533330564305355,0.012896789606263427,5,6,2
2511.810059,1355120000,0.054372141485760285,0.00023482786761154574,6,6,2
2686.810059,1369309952,0.07034845154612146,0.0014999307399868615,0,6,2
2863.199951,2089609984,0.11485997454041207,0.0021584004281089792,1,6,2
2732.159912,1517709952,0.06251289373749867,-0.00427131733715301,2,6,2
2805.620117,1281170048,0.05404447879899637,0.0006486352122204124,3,6,2
2823.810059,1348950016,0.03794859085283943,0.0015333304682445424,4,6,2
2947.709961,2018889984,0.07443517771483366,-0.001798022556534674,5,6,2
2958.110107,1752400000,0.054943995453885015,-0.0016531284580746622,6,6,2
2659.629883,2569530112,0.1900689043683433,0.00800112419251232,0,6,2
2717.02002,1781200000,0.0523170874067489,-5.157746316490809e-05,1,6,2
2506.370117,1696560000,0.1549521107620473,-0.0027091126541706925,2,6,2
2464.580078,2026259968,0.14539350267078782,0.0020246816261086545,3,6,2
2518.560059,1195190016,0.06488901174312856,-0.0018066073047337025,4,6,2
2655.879883,1534509952,0.08057674294253954,-0.0001994762652450026,5,6,2
2548.290039,1178659968,0.05792960998020544,0.0002903868824486012,6,6,2
2589.600098,1446840064,0.04465230605566941,0.0006409916346860119,0,6,2
2721.790039,1854189952,0.06704322247919196,-0.004541168430663057,1,6,2
2689.100098,1626579968,0.04195238013506732,0.0007176865604354027,2,6,2
2705.409912,1097939968,0.030798180302681985,0.0007134504798841909,3,6,2
2744.909912,961318976,0.021726446294485193,-0.002327905907609308,4,6,2
2608.719971,982750016,0.06764891625907736,-0.0005634836304168374,5,6,2
2589.409912,1161100032,0.0509928557567183,0.00044803875764260045,6,6,2
2478.449951,1663280000,0.10056009875821392,0.0,0,6,2
2552.449951,1489789952,0.09406811085374611,0.00022726322205561541,1,6,2
2574.790039,1183869952,0.04812393305224833,-0.0028079881817501735,2,6,2
2539.320068,949979008,0.031209210439511206,-3.153521330732762e-05,3,6,2
2480.840088,860273024,0.03260938183343405,0.0047403337510079635,4,6,2
2434.550049,779913984,0.03969859864253165,0.0007598336295283805,5,7,3
2506.469971,803747008,0.04987386907313207,-0.003155797632334801,6,7,3
2564.060059,964112000,0.04617271337246921,-0.0011934427936892216,0,7,3
2601.639893,985516032,0.028225911748631757,0.0004728648277995587,1,7,3
2601.98999,941566016,0.033129089983130036,0.0023482442374806577,2,7,3
2608.560059,761956992,0.013568643330744532,1.1511715015495905e-05,3,7,3
2518.659912,917411968,0.16698337907251867,0.0006392716985443704,4,7,3
2571.340088,733329984,0.03170954942568806,0.000493913273443294,5,7,3
2518.439941,527856000,0.04683046003476326,0.002704078381672994,6,7,3
2372.560059,1111200000,0.09307106447692053,0.005618333643203305,0,7,3
2337.790039,1329760000,0.050792146064874096,-0.002147335268032617,1,7,3
2398.840088,1117410048,0.06530150891253349,0.0016090539003865989,2,7,3
2357.899902,835769984,0.03605126822024714,0.0011409245989271906,3,7,3
2233.340088,882502976,0.08246078333441556,-0.0014417736990892122,4,7,3
1998.859985,993608000,0.12094485803823074,-0.0034419644455486874,5,7,3
1929.819946,1182870016,0.11705723054173846,0.0014509379519077395,6,7,3
2228.409912,1201760000,0.15412755522070443,0.002293163377384876,0,7,3
2318.879883,1512450048,0.10293938152377038,0.0018113033929838503,1,7,3
2273.429932,1245100032,0.06058672932034995,-0.0015571357402186165,2,7,3
2817.600098,2249260032,0.2779033731747622,0.007385652071339539,3,7,3
2667.76001,1489449984,0.08259809138790825,0.00032606868561617646,4,7,3
2810.120117,1177129984,0.07702494403225817,-0.000718837243924135,5,7,3
2730.399902,1072840000,0.06716052170074331,0.0008423853950167423,6,7,3
2754.860107,866473984,0.0289235180578201,0.0009582675335463156,0,7,3
2576.47998,1460089984,0.1157294440512738,0.0005006986314715562,1,7,3
2529.449951,937404032,0.06526846654229033,0.0036608789180980184,2,7,3
2671.780029,789104000,0.06483113155797975,0.0029755260214949586,3,7,3
2809.01001,1380099968,0.0812469810857585,-0.0007084310817390197,4,7,3
2726.449951,803745984,0.04306296750219646,-0.0007555825476438486,5,7,3
2757.179932,705942976,0.04298161589042924,0.0021979189423463517,6,7,3
2875.340088,860574976,0.0621220988502341,-0.0014050647493354807,0,7,3
2718.26001,1324669952,0.08777893350399128,0.003263070113737978,1,8,3
2710.669922,1094950016,0.035202087207932435,-0.00040944232678143545,2,8,3
2804.72998,804796992,0.04773314281841772,0.0007843721198430443,3,8,3
2895.889893,1002120000,0.05671501051300252,0.0006008481207127285,4,8,3
3252.909912,1945699968,0.14441894676739916,0.001444920126026501,5,8,3
3213.939941,1105030016,0.0436335203206728,-0.00036090033457164615,6,8,3
3378.939941,1482279936,0.06815389601415542,-0.0025806821524680373,0,8,3
3419.939941,1752760064,0.04155023320344481,0.0001344938823298538,1,8,3
3342.469971,1468960000,0.053912525658449575,-0.00018844836467195398,2,8,3
3381.280029,1515110016,0.040361859324077036,-0.002206253530029654,3,8,3
3650.620117,2021190016,0.09121853413503421,2.6751619415696522e-06,4,8,3
3884.709961,2219589888,0.09304036736834213,-0.0012021288711082856,5,8,3
4073.26001,3159089920,0.09087824240421134,-0.0017577841783785555,6,8,3
4325.129883,2463089920,0.08422073278871342,0.00043012604252936016,0,8,3
4181.930176,3258050048,0.14074883711731698,0.0044021940169285696,1,8,3
4376.629883,2272039936,0.096837604847095,0.0017844913115309064,2,8,3
4331.689941,2553359872,0.05678763068511242,-0.001696819740127275,3,8,3
4160.620117,2941710080,0.08834237925425927,-0.005496804888904591,4,8,3
4193.700195,2975820032,0.0686831077897339,-0.0010468406886200848,5,8,3
4087.659912,2109769984,0.031059923052770933,0.0006898979026413664,6,8,3
4001.73999,2800890112,0.030221139256463116,-0.0008471045116552276,0,8,3
4100.52002,3764239872,0.12360043280025647,-0.0028069634933766195,1,8,3
4151.52002,2369819904,0.04348995731844417,-0.003352969980378426,2,8,3
4334.680176,2037750016,0.05959198329996762,-0.00042917860706309543,3,8,3
4371.600098,1727970048,0.03444115143296171,0.00010521570813645726,4,8,3
4352.399902,1511609984,0.025707752741723832,-0.0016771905533418106,5,8,3
4382.879883,1537459968,0.02300049431541091,0.00035828314759242064,6,8,3
4382.660156,1959330048,0.04243912692817355,0.0014944816086259304,0,8,3
4579.02002,2486080000,0.06285434956078038,-0.001891268647478037,1,8,3
4565.299805,1937849984,0.034689249831367966,-0.0021269054420840093,2,8,3
4703.390137,1944930048,0.04102736778930883,-0.0003466374152496114,3,8,3
4892.009766,2599079936,0.04562971506229289,0.0019235766995809214,4,9,3
4578.77002,2722139904,0.11317355490360526,0.001419595212602532,5,9,3
4582.959961,1933190016,0.06711583566380543,0.0018917734550987152,6,9,3
4236.310059,2987330048,0.11761999623375502,-0.0018931617110889878,0,9,3
4376.529785,2697969920,0.10748321719494858,1.3722972983346189e-05,1,9,3
4597.120117,2172100096,0.05498805338817121,-0.001735865019165012,2,9,3
4599.879883,1844620032,0.036450218121777615,0.0011479154095990352,3,9,3
4228.75,2700890112,0.14375317845474705,0.0002506790422702607,4,9,3
4226.060059,1386230016,0.047327360591682986,0.0007760857522634937,5,9,3
4122.939941,1679090048,0.07451200167399763,-0.00011392986721155705,6,9,3
4161.27002,1557330048,0.039583847362837724,0.0018287356896872743,0,9,3
4130.810059,1864530048,0.06350451942407782,0.00028321829938676046,1,9,3
3882.590088,2219409920,0.09025522043734623,-0.0018595759110174668,2,9,3
3154.949951,2716310016,0.2431116045059255,0.0035975524735035293,3,9,3
3637.52002,4148069888,0.26702791766761025,6.322439429489894e-05,4,9,3
3625.040039,1818400000,0.09204970637855531,-0.0051751180119861745,5,9,3
3582.879883,1239149952,0.06360797204758852,0.002291509977478042,6,9,3
4065.199951,1943209984,0.1359308399505683,0.0021130788407804748,0,9,3
3924.969971,1563980032,0.05820819624067004,-0.002193612706241012,1,9,3
3905.949951,1213830016,0.045016088191843835,-0.001146962981144473,2,9,3
3631.040039,1411480064,0.08379110445827581,-0.0008317228583444016,3,9,3
3630.699951,1194829952,0.057615945082534134,-0.00021484259523708936,4,9,3
3792.399902,928113984,0.06249127245065649,0.0009888197703049092,5,9,3
3682.840088,768014976,0.03524775790293716,-0.0003421299784656753,6,9,3
3926.070068,1374210048,0.07297679700232233,0.0005959761184782005,0,9,3
3892.350098,1043740032,0.025837875276392593,0.00015153904072074065,1,9,3
4200.669922,1686880000,0.08371809538335603,-0.0008427320084018812,2,9,3
4174.72998,1712320000,0.04127061730837522,-0.0007449255436634677,3,9,3
4163.069824,1367049984,0.043408579801664404,0.000730239733783414,4,9,3
4338.709961,1207449984,0.0474830490584105,0.0005392948643796392,5,9,3
4403.740234,1208210048,0.03136677583999282,-0.0018007817397522519,6,10,4
4409.319824,1431730048,0.021192659630588112,-0.00019501034951475703,0,10,4
4317.47998,1288019968,0.04075711568419825,0.0004377870907927922,1,10,4
4229.359863,1116770048,0.033699759080704904,0.00012295477728184307,2,10,4
4328.410156,1161769984,0.04769163225702597,-0.0009126203057546724,3,10,4
4370.810059,1069939968,0.021465014619729144,-0.0003340252676947717,4,10,4
4426.890137,906928000,0.028425980616532138,0.0006279317791887907,5,10,4
4610.47998,1313869952,0.04959551692952991,0.0008762731901071746,6,10,4
4772.02002,1968739968,0.06889630519800614,0.0008780225108945865,0,10,4
4781.990234,1597139968,0.03296254449427521,0.0015181473915155902,1,10,4
4826.47998,1222279936,0.025696466266625775,0.0006423103406304586,2,10,4
5446.910156,2791610112,0.1295956358357528,0.0031669330879266298,3,10,4
5647.209961,3615480064,0.07420651659099683,-0.0006516803918068183,4,10,4
5831.790039,1669030016,0.04400498815576765,0.0007150329439353693,5,10,4
5678.189941,1976039936,0.06824178511504286,0.0016519142715307978,6,10,4
5725.589844,2008070016,0.0418490678802055,0.002792766236435268,0,10,4
5605.509766,1821570048,0.059866002669387255,-0.00030147873619813326,1,10,4
5590.689941,2399269888,0.08781620055385608,-0.001243085750299484,2,10,4
5708.52002,1780540032,0.038562235217992145,-7.184997136968155e-05,3,10,4
6011.450195,2354429952,0.0769259270615415,-0.0024387053912870212,4,10,4
6031.600098,2207099904,0.03852596294436929,0.0008389246498085766,5,10,4
6008.419922,2034630016,0.049016447523205796,-0.000402755138857627,6,10,4
5930.319824,2401840128,0.059855457792378566,0.0008768828923786856,0,10,4
5526.640137,2735699968,0.07836586561624216,-0.0003691282496109505,1,10,4
5750.799805,1966989952,0.06603522174003892,-0.000495515423354109,2,10,4
5904.830078,1905040000,0.04467221683407958,-0.0008619797577179468,3,10,4
5780.899902,1710130048,0.045309561301364494,0.0011970319703349262,4,10,4
5753.089844,1403920000,0.03296256162033467,0.00023467337319746373,5,10,4
6153.850098,2859040000,0.09278058403640338,-0.006337495938140416,6,10,4
6130.529785,1772150016,0.028827091084027093,0.00024308421168533833,0,10,4
6468.399902,2311379968,0.06014750854181147,-0.0042405675925384105,1,10,4
6767.310059,2870320128,0.06105950302356937,0.0015456600789391386,2,11,4
7078.5,4653770240,0.09004809248491723,0.0012756636292999533,3,11,4
7207.759766,3369860096,0.06545109651969251,-0.006004609948871603,4,11,4
7379.950195,2483800064,0.06564666634155278,0.0033292670479871146,5,11,4
7407.410156,2380410112,0.03876758154190574,-0.0005656418251128951,6,11,4
7022.759766,3111899904,0.06257179392780735,4.8461290338798985e-05,0,11,4
7144.379883,2326340096,0.03278035664984484,-0.0004199104819633791,1,11,4
7459.689941,4602200064,0.09311189737135434,-0.0017239138760069919,2,11,4
7143.580078,3226249984,0.048624809481280604,0.004220559113329241,3,11,4
6618.140137,5208249856,0.13595580881595712,7.09755294200043e-05,4,11,4
6357.600098,4908680192,0.10781849512412896,-0.009775686114568752,5,11,4
5950.069824,8957349888,0.20040552307295909,-0.0019865017301686294,6,11,4
6559.490234,6263249920,0.16544351761252468,0.0003033385109237127,0,11,4
6635.75,3197110016,0.04692691298796767,-0.00014922714086574587,1,11,4
7315.540039,4200880128,0.10663388863385108,0.001052580528429726,2,11,4
7871.689941,5123809792,0.1101917342808196,-0.0023019347987298325,3,11,4
7708.990234,4651670016,0.058655565421158615,-0.0015281214066200498,4,11,4
7790.149902,3667190016,0.056482037282063025,-0.003096232717397123,5,11,4
8036.490234,3149319936,0.053002957175720386,0.0003209846493792529,6,11,4
8200.639648,3488450048,0.04874612493058802,0.0006219741653011694,0,11,4
8071.259766,4277609984,0.07548268554974037,0.0008289200439544151,1,11,4
8253.549805,3633530112,0.028083757968513406,-0.002564947507456272,2,11,4
8038.77002,4225179904,0.028440964280751907,0.004384999186728818,3,11,4
8253.69043,5058610176,0.054556578435780476,-0.0014515287557253446,4,11,4
8790.919922,4342060032,0.07322171211316199,-0.00021384371791341735,5,11,4
9330.549805,5475579904,0.08516120936428762,0.0023760574096200466,6,11,4
9818.349609,5653320192,0.049785505777083475,0.0005174066113252605,0,11,4
10058.799805,6348819968,0.03999470001940834,0.0018491854257555388,1,11,4
9888.610352,11568799744,0.19960046614884774,0.001838447097505762,2,11,4
10233.599609,8310689792,0.17376021961228663,-0.003420106447121406,3,11,4
10975.599609,6783119872,0.139463492696464,0.00024601808522475756,4,12,4
11074.599609,5138500096,0.03806481379201849,0.0007314563312442961,5,12,4
11323.200195,6608309760,0.09176028309703549,-0.0006888338866819993,6,12,4
11657.200195,6132409856,0.051923008908749985,0.0024448409157650226,0,12,4
11916.700195,6895260160,0.036830257432451774,0.0005622526278550703,1,12,4
14291.5,12656300032,0.20511759546765368,-0.0017773075604379678,2,12,4
17899.699219,17950699520,0.2733383699075199,-0.005407846624442157,3,12,4
16569.400391,21135998976,0.28015121054487907,-0.002782213532907166,4,12,4
15178.200195,13911300096,0.22728499075909656,-0.0006456499370214179,5,12,4
15455.400391,13433299968,0.198388102578875,-0.0018116644856580346,6,12,4
16936.800781,12153900032,0.13691191139760472,-0.0010037314732467596,0,12,4
17415.400391,14603799552,0.07302862732350492,0.004857746999817501,1,12,4
16408.199219,12976900096,0.10058787847561769,-0.001438281537480977,2,12,4
16564.0,13777399808,0.05559779612262922,0.002251918679063133,3,12,4
17706.900391,14309999616,0.0935347686596438,0.0030157954707388922,4,12,4
19497.400391,12740599808,0.1256843068540392,-0.001107819994811609,5,12,4
19140.800781,13314599936,0.05875906704269475,-0.001797228360171318,6,12,4
19114.199219,14839499776,0.05530099790134565,0.00021458194261815647,0,12,4
17776.699219,16894499840,0.11012192753524254,-0.0009224681026537052,1,12,4
